term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Oil Price,Oil prices edged up on Wednesday  lifted by a report of declining U.S. fuel inventories amid the ongoing crude supply outage at Syncrude Canada in Alberta  which usually supplies the United States.,,,Reuters,,Oil Prices Climb on Tightening U.S. Market,Oil Prices Climb on Tightening U.S. Market,2018-07-03T06:39:18+0000,None,,article,https://www.nytimes.com/reuters/2018/07/03/business/03reuters-global-oil.html,News,,5b3b1a1700a1bc2872e66d09
Oil Price,Investment bank JP Morgan on Friday raised its outlook for oil prices  but lowered its forecast for global crude demand-growth this year amid increasing uncertainty over international trade.    ,,,Reuters,,JP Morgan Raises Oil Price Outlook  but Trims Demand-Growth Forecast,JP Morgan Raises Oil Price Outlook  but Trims Demand-Growth Forecast,2018-07-13T07:24:41+0000,None,,article,https://www.nytimes.com/reuters/2018/07/13/business/13reuters-research-crude-jp-morgan.html,News,,5b4853ba00a1bc2872e7c304
Oil Price,OPEC President Suhail al-Mazrouei said on Wednesday that volatility in the crude market was undesirable and OPEC prefers a flatter price environment.,,,Reuters,,OPEC Does Not Want to See Volatility in Oil Prices-OPEC President,OPEC Does Not Want to See Volatility in Oil Prices-OPEC President,2018-07-11T23:51:51+0000,None,,article,https://www.nytimes.com/reuters/2018/07/11/business/11reuters-oil-opec-volatility.html,News,,5b46981e00a1bc2872e7beb9
Oil Price,British bank Barclays on Tuesday raised its outlook for oil prices for this year and next amid expectations of lower supply from Libya and Iran.,,,Reuters,,Barclays Raises Oil Price View on Tighter Supply Outlook,Barclays Raises Oil Price View on Tighter Supply Outlook,2018-07-10T08:12:35+0000,None,,article,https://www.nytimes.com/reuters/2018/07/10/business/10reuters-research-crude-barclays.html,News,,5b446a7500a1bc2872e698f4
Oil Price,Global planemakers could reap 900 orders and commitments at next week's Farnborough Airshow  down only slightly from last year's comparable event  as strong oil prices prompt airlines to add to their bulging order books  aviation consultancy IBA G...,,,Reuters,,Higher Oil Prices to Spur Farnborough Jet Orders: IBA,Higher Oil Prices to Spur Farnborough Jet Orders: IBA,2018-07-09T09:27:35+0000,None,,article,https://www.nytimes.com/reuters/2018/07/09/business/09reuters-britain-airshow.html,News,,5b432a8800a1bc2872e67cd1
Oil Price,Oil prices inched up in early Asian trading on Monday  with many investors focussed on any fallout from the U.S. imposition of tariffs on Chinese goods at the end of last week  which prompted immediate retaliation from China. ,,,Reuters,,Oil Prices Edge Up  U.S.-China Trade War in Focus,Oil Prices Edge Up  U.S.-China Trade War in Focus,2018-07-09T01:42:18+0000,None,,article,https://www.nytimes.com/reuters/2018/07/08/business/08reuters-global-oil.html,News,,5b42bd8500a1bc2872e67c1a
Oil Price,Iran's representative to OPEC says U.S. President Donald Trump should stop tweeting about wanting lower oil prices  saying that doing so has the opposite effect.,,,AP,,Iran Tells Trump to Stop Tweeting About Oil Prices,Iran Tells Trump to Stop Tweeting About Oil Prices,2018-07-05T12:30:18+0000,None,Middle East,article,https://www.nytimes.com/aponline/2018/07/05/world/middleeast/ap-ml-iran-us-oil.html,News,,5b3e0f5c00a1bc2872e67377
Oil Price,Oil prices fell on Thursday after U.S. President Donald Trump sent a strident tweet demanding that OPEC cut prices for crude.,,,Reuters,,Oil Prices Fall as Trump Demands OPEC 'Reduce Pricing Now',Oil Prices Fall as Trump Demands OPEC 'Reduce Pricing Now',2018-07-04T04:48:37+0000,None,,article,https://www.nytimes.com/reuters/2018/07/04/business/04reuters-global-oil.html,News,,5b3c51a600a1bc2872e6700e
Oil Price,With Saudi Arabia and Russia signaling they will increase output  crude prices have declined  and gasoline could follow suit with summer ahead.,,,The New York Times,3,Oil Prices Reverse Their Rise  and Drivers May See Relief,Drivers May  See Relief As Oil Prices Reverse Rise,2018-05-25T18:38:03+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/05/25/business/energy-environment/oil-gasoline-prices-drivers.html,News,,5b08580e47de81a90122a4bc
Oil Price,U.S. President Donald Trump  who recently called on OPEC producers to help reduce oil prices  has raised prices through his tweets  Iranian OPEC Governor Hossein Kazempour Ardebili was quoted as saying by news agency SHANA on Thursday.,,,Reuters,,Iran's OPEC Boss Says Trump's Tweets Have Added $10 to Oil Prices: SHANA,Iran's OPEC Boss Says Trump's Tweets Have Added $10 to Oil Prices: SHANA,2018-07-05T10:24:40+0000,None,,article,https://www.nytimes.com/reuters/2018/07/05/business/05reuters-iran-oil-trump.html,News,,5b3df1ea00a1bc2872e6731f
Oil Price,The United States  Saudi Arabia and Russia see common cause in tamping down oil prices and boosting production — at least for now.,,,The New York Times,1,United States  Saudi Arabia and Russia Find Agreement on Oil Policy,Seeing Eye-to-Eye on Oil Prices,2018-06-13T23:25:38+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/06/13/business/energy-environment/russia-saudi-arabia-oil-prices.html,News,,5b21a7f547de81a90122de3f
Oil Price,The president’s remarks came with gasoline prices at their highest point in three years after an effort by the oil cartel and Russia to restrain output.,,,The New York Times,1,Trump Criticizes OPEC  Calling Oil Prices ‘Artificially’ High,As Oil Surges  Trump Says That OPEC  ‘Is at It Again’,2018-04-20T11:51:05+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/04/20/business/energy-environment/trump-opec-oil-prices.html,News,,5ad9d42b47de81a901224218
Oil Price,The prospect of an American withdrawal from the Iran nuclear accord led to concerns about new sanctions that could further curtail global supplies.,,,The New York Times,1,U.S. Oil Prices Hit $70 a Barrel for First Time Since ’14,U.S. Oil Tops $70 a Barrel As Deadline Nears on Iran,2018-05-07T16:47:31+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/05/07/business/energy-environment/crude-oil-prices.html,News,,5af0832447de81a90122718d
Oil Price,The need to recharge its economy gives the kingdom new reasons to make common cause with China and Russia — overtures Washington is willing to accept.,,,The New York Times,1,Lower Oil Prices Force Saudis to Widen Their Circle of Friends,Low Oil Prices Spur the Saudis To Play the Field,2018-02-26T01:28:11+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/02/25/business/energy-environment/saudi-oil-world.html,News,,5a9362b0410cf7000162deaa
Oil Price,Rising global oil prices  which hit a three-year peak last week above $70 a barrel  are brightening Russia’s once gloomy outlook.,,,The New York Times,4,Rising Oil Prices Buoy Russia’s Economy  Despite Sanctions,Oil Prices Buoy Russia   Despite West’s Sanctions,2018-01-18T19:29:26+0000,Foreign,Europe,article,https://www.nytimes.com/2018/01/18/world/europe/russia-oil-economy.html,News,,5a60f59a95d0e0110c1a54a1
Oil Price,Tensions in Iran  record-breaking cold weather in the United States and a year of production cuts have contributed to higher prices  and they could go higher still.,,,The New York Times,1,Oil Price Briefly Reaches $70 as Buoyant Global Economy Bolsters Demand,Oil Prices Hit a 3-Year High. Why?,2018-01-16T08:39:18+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/01/16/business/energy-environment/oil-prices.html,News,,5a5dba3b95d0e0110c1a4bb9
Oil Price,Having survived a slump  shale drilling is surging as prices recover  limiting market upheaval and providing Washington with strategic leeway.,,,The New York Times,1,Oil Boom Gives the U.S. a New Edge in Energy and Diplomacy,Rising Oil Prices Give U.S. an Edge In Global Energy,2018-01-28T17:58:44+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/01/28/business/energy-environment/oil-boom.html,News,,5a6e0f58d4211f00015bdeee
Oil Price,Oil prices have remained stubbornly high  despite major producers’ pledges to increase output. A mix of geopolitics and supply concerns are to blame.,,,The New York Times,2,Saudi Arabia Promised More Oil. So Why Are Prices Rising?,Saudi Arabia Promised More Oil. So Why Are Prices Rising?,2018-07-04T15:04:39+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/07/04/business/energy-environment/oil-prices-opec.html,News,,5b3ce20a00a1bc2872e67167
Oil Price,The shift effectively ends a deal that had more than doubled prices and raised revenues for oil producers  but that drew the ire of President Trump.,,,The New York Times,2,OPEC  After Bolstering Prices  Considers Ramping Up Oil Production,OPEC  After Bolstering Prices  Agrees to Ramp Up Oil Output,2018-06-22T11:15:29+0000,Business,,article,https://www.nytimes.com/2018/06/22/business/opec-oil-production-prices.html,News,,5b2cda5347de81a90122f0b1
Oil Price,Khalid al-Falih  the Saudi energy minister  said that his country had capacity to spare and needed to be mindful of its customers’ interests.,,,The New York Times,20,Saudis  Saying They Heard Price Complaints  Are Raising Oil Production,Saudis Say They Will Increase Oil Output,2018-06-23T16:27:54+0000,Business,,article,https://www.nytimes.com/2018/06/23/business/opec-oil-production.html,News,,5b2e750d47de81a90122f428
Oil Price,Oil prices rose on Tuesday on escalating concerns over potential supply shortages  with Brent crude leading the way as hundreds of oil workers in Norway were set to strike later in the day. ,,,Reuters,,Brent Leads Crude Prices Higher as Norway Oil Workers Get Ready to Strike,Brent Leads Crude Prices Higher as Norway Oil Workers Get Ready to Strike,2018-07-09T05:30:33+0000,None,,article,https://www.nytimes.com/reuters/2018/07/09/business/09reuters-global-oil.html,News,,5b42f2fb00a1bc2872e67c64
Oil Price,Global oil companies see a promising future in Brazil’s offshore fields  setting the country apart from the rest of the world.,,,The New York Times,3,An Oil Auction Provides Brazil a Needed Boost,Oil Auction Gives Brazil Some Rare Good News,2018-06-07T23:10:22+0000,Business,,article,https://www.nytimes.com/2018/06/07/business/brazil-offshore-oil-auction.html,News,,5b19bb6547de81a90122c908
Oil Price,A growing fleet of ships is scanning oceans in search of new oil and gas fields as energy companies  now with more cash thanks to stronger crude prices  gradually resume spending on seismic services after a four-year downturn.,,,Reuters,,Ghost Ships No More-Explorers Resume Oil  Gas Search as Prices Perk Up,Ghost Ships No More-Explorers Resume Oil  Gas Search as Prices Perk Up,2018-07-04T23:42:49+0000,None,,article,https://www.nytimes.com/reuters/2018/07/04/business/04reuters-asia-oil-gas.html,News,,5b3d5b7a00a1bc2872e67240
Oil Price,A growing fleet of ships is scanning oceans in search of new oil and gas fields as energy companies  now with more cash thanks to stronger crude prices  gradually resume spending on seismic services after a four-year downturn.,,,Reuters,,Ghost Ships No More: Explorers Resume Oil  Gas Search as Prices Perk Up,Ghost Ships No More: Explorers Resume Oil  Gas Search as Prices Perk Up,2018-07-05T04:12:24+0000,None,,article,https://www.nytimes.com/reuters/2018/07/05/business/05reuters-asia-oil-gas-focus.html,News,,5b3d9aab00a1bc2872e67270
Oil Price,The president tweeted that Saudi Arabia might raise production by up to two million barrels a day. Oil prices have been rising amid worries about declining Iranian oil exports.,,,The New York Times,17,Trump Pressures Saudi Arabia to Increase Oil Production,Trump Presses Saudis to Pump More Oil,2018-06-30T13:49:26+0000,Express,,article,https://www.nytimes.com/2018/06/30/us/trump-oil-saudi-arabia.html,News,,5b378a6900a1bc2872e6671b
Oil Price,After the government agreed to subsidize fuel costs to end a truckers’ strike  the head of Petrobras quit  signaling disagreement with the decision.,,,The New York Times,,Head of Brazil’s State Oil Company Resigns Amid Period of Unrest,Head of Brazil’s State Oil Company Resigns Amid Period of Unrest,2018-06-01T22:52:13+0000,Foreign,Americas,article,https://www.nytimes.com/2018/06/01/world/americas/brazil-petrobras-oil.html,News,,5b11ce1f47de81a90122b7a4
Oil Price,The Trump administration said it would not penalize reduced Iranian oil imports in at least some cases  a move that is likely to soothe market concerns.,,,The New York Times,6,U.S. Softens Demand That Countries Stop All Iran Oil Imports,U.S. Eases Restriction  On Imports Of Iran Oil,2018-07-02T18:49:51+0000,Washington,Middle East,article,https://www.nytimes.com/2018/07/02/world/middleeast/us-iran-oil-imports-sanctions-.html,News,,5b3a73d100a1bc2872e66be1
Oil Price,Our correspondent visited Venezuela to see whether the country could pull itself out of its economic free fall. The outlook was not encouraging.,,,The New York Times,1,Workers Flee and Thieves Loot Venezuela’s Reeling Oil Giant,Job at Oil Giant Is No Longer Path to the Venezuelan Dream,2018-06-14T22:15:12+0000,Foreign,Americas,article,https://www.nytimes.com/2018/06/14/world/americas/venezuela-oil-economy.html,News,,5b22e8f647de81a90122e06a
Oil Price,As the kingdom prepares for its next evolution  Saudi Aramco is central. But a planned public listing leaves the company  and the country  at risk.,,,The New York Times,1,An Oil Giant Is Taking Big Steps. Saudi Arabia Can’t Afford for It to Slip.,Will the Golden Spigot Run Dry?,2018-06-16T09:00:13+0000,SundayBusiness,Energy & Environment ,article,https://www.nytimes.com/2018/06/16/business/energy-environment/saudi-arabia-aramco.html,News,,5b24d1aa47de81a90122e306
Oil Price,The United States vowed Tuesday to impose sanctions on any country that buys Iranian oil after Nov. 4  a tough position likely to alienate many.,,,The New York Times,8,Roiling Markets  U.S. Insists World Must Stop Buying Iranian Oil,Roiling Markets  U.S. Insists World Must Stop Buying Iranian Oil,2018-06-26T22:53:19+0000,Washington,Middle East,article,https://www.nytimes.com/2018/06/26/world/middleeast/us-iran-oil-sanctions-.html,News,,5b32c3e100a1bc2872e65ac8
Oil Price,Cooperation between several longtime rivals has helped increase oil prices in recent months. But that coordination now looks to be at risk.,,,The New York Times,2,At OPEC Meeting  U.S. Pressure Frays Uneasy Agreement,New Fissures Over Output Are Dividing Oil Nations,2018-06-20T17:02:47+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/06/20/business/energy-environment/opec-iran-saudi-trump-oil.html,News,,5b2a88b947de81a90122ea51
Oil Price,Despite trade tensions and problems abroad  some American investors have prospered by focusing on international investments.,,,The New York Times,18,Trade Wars? Three Funds Made Solid Profits Anyway,Winning Profits  Despite Trade Wars and Tension,2018-07-13T19:30:05+0000,SundayBusiness,,article,https://www.nytimes.com/2018/07/13/business/trade-wars-global-funds.html,News,,5b48fdc000a1bc2872e7c4e0
Oil Price,Saudi Arabia and Russia may offset any reduction in Iranian exports  but if prices rise  one of the beneficiaries could be Iran itself.,,,The New York Times,2,U.S. Pullout From Iran Nuclear Deal May Unsettle Oil Markets,U.S. Decision on Iran May Rattle Oil Markets,2018-05-09T19:34:37+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/05/09/business/energy-environment/iran-oil.html,News,,5af34d4f47de81a9012279a0
Oil Price,The leading presidential candidate has vowed to reverse energy policies that have attracted foreign drillers and helped absorb a natural-gas glut.,,,The New York Times,1,‘Mexico First’ Campaign Could End Welcome for U.S. Oil Giants,Mexico Could End Welcome for Oil Giants,2018-04-26T16:49:10+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/04/26/business/energy-environment/mexico-election-oil-companies-usa.html,News,,5ae2030847de81a901225499
Oil Price,Deepwater projects fell out of favor as oil prices dropped and costs remained prohibitive  but winning bids totaling more than $2.4 billion were hailed as a success in Brazil.,,,The New York Times,3,Brazilian Auction Draws Oil Companies Back to Offshore Drilling,Brazilian Auction Signals Return to Offshore Drilling,2018-03-29T22:52:21+0000,Business,,article,https://www.nytimes.com/2018/03/29/business/brazilian-auction-draws-oil-companies-back-to-offshore-drilling.html,News,,5abd6e2a47de81a901219b74
Oil Price,Oil prices edged lower on Friday and were set for a second weekly fall  as the market shrugged off a warning that spare capacity may be stretched as OPEC and Russia increase production.,,,Reuters,,Oil Edges Lower  Set for Big Weekly Decline,Oil Edges Lower  Set for Big Weekly Decline,2018-07-12T06:06:28+0000,None,,article,https://www.nytimes.com/reuters/2018/07/12/business/12reuters-global-oil.html,News,,5b46efec00a1bc2872e7bf45
Oil Price,The acquisition will make Concho Resources the biggest producer in the oil-rich Permian Basin  where production risks overwhelming pipeline capacity.,,,The New York Times,4,$9.5 Billion Purchase by Concho Is Latest Sign of West Texas Oil Boom,Texas Oil Boom Spurs $9.5 Billion Deal,2018-03-28T19:54:51+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2018/03/28/business/energy-environment/texas-oil-deal.html,News,,5abbf30f47de81a901218d50
Oil Price,Delta Air Lines cut its estimate of profit on Wednesday and said it would decide soon whether to reduce capacity in the fall.,,,The New York Times,6,As Fuel Prices Rise  Airlines Warn of Higher Fares,Airlines Warn of Higher Fares as Fuel Prices Rise,2018-06-07T00:02:42+0000,Business,,article,https://www.nytimes.com/2018/06/06/business/airlines-higher-fares-fuel.html,News,,5b18762447de81a90122c523
Oil Price,Oil prices rose about 1 percent on Friday as strike actions in Norway and Iraq hit supplies  but futures were set for a second straight week of decline after Libyan ports reopened and on the view that Iran might still export some crude despite U.S...,,,Reuters,,Oil Rises but Declines for the Week as Supply Concerns Ease,Oil Rises but Declines for the Week as Supply Concerns Ease,2018-07-13T05:42:32+0000,None,,article,https://www.nytimes.com/reuters/2018/07/13/business/13reuters-global-oil.html,News,,5b483bc900a1bc2872e7c2d8
Oil Price,As Premier Oil makes progress on shrinking its debt pile  it is turning its attention to growth from its UK Tolmount gas field and by looking at buying existing production in the North Sea.,,,Reuters,,As Debt Shrinks  Premier Oil Looks to Growth,As Debt Shrinks  Premier Oil Looks to Growth,2018-07-12T06:39:35+0000,None,,article,https://www.nytimes.com/reuters/2018/07/12/business/12reuters-premieroil-results.html,News,,5b46f7a800a1bc2872e7bf5b
Oil Price,"Iran will do its best to ensure security of oil supply to India by offering ""flexible measures"" to boost bilateral trade  a statement from Tehran's embassy in New Delhi said.",,,Reuters,,Iran Says Will Strive to Ensure Oil Supplies to India,Iran Says Will Strive to Ensure Oil Supplies to India,2018-07-12T14:34:03+0000,None,Middle East,article,https://www.nytimes.com/reuters/2018/07/12/world/middleeast/12reuters-india-iran-oil.html,News,,5b4766de00a1bc2872e7c09a
